"# of Use","# שימוש"
"%1$s incl tax.","%1$s כולל מס."
"%s - %s","%s - %s"
"%s Item(s)","%s מוצר(ים)"
"Cannot create writeable directory '%s'.","לא ניתן ליצור תיקיה שניתן לשנותה  '%s'."
"Cart Item Attribute","תכונות פריט בעגלה"
"Catalog","קטלוג"
"Catalog Category (Anchor)","קטגורית קטלוג (Anchor)"
"Catalog Category (Non-Anchor)","קטגורית קטלוג (Non-Anchor)"
"Catalog Category (Without Subcategories)","קטגורית קטלוג (ללא תתי קטגוריות)"
"Catalog Category Link","קישור קטגורית קטלוג"
"Catalog New Products List","רשימת מוצרים חדשים בקטלוג"
"Catalog Price Scope","טווח תמחור לקטלוג"
"Catalog Product Compare List","רשימת השוואה של מוצרי הקטלוג"
"Catalog Product Email to a Friend","שליחה לחבר של מוצרי הקטלוג"
"Catalog Product Image Gallery Popup","חלון קופץ לתצוגת גלריית תמונות של מוצרי קטלוג"
"Catalog Product Link","קישור מוצרי קטלוג"
"Catalog Product View (Any)","צפייה במוצרי קטלוג (כולם)"
"Catalog Product View (Configurable)","צפייה במוצרי קטלוג (מותאם)"
"Catalog Product View (Grouped)","צפייה במוצרי קטלוג (בקבוצות)"
"Catalog Product View (Simple)","צפייה במוצרי קטלוג (פשוט)"
"Catalog Product View (Virtual)","צפייה במוצרי קטלוג (וירטואלי)"
"Catalog Section","איזור - קטלוג"
"Catalog Seo Popular Search Terms","מונחי חיפוש פופולריים בקטלוג בהתאמה למנועי החיפוש (Seo)  "
"Catalog Seo Sitemap (Category List)","מונחי חיפוש פופולריים בקטלוג בהתאמה למנועי החיפוש (רשימת קטגוריות)"
"Catalog Seo Sitemap (Category Tree)","מונחי חיפוש פופולריים בקטלוג בהתאמה למנועי החיפוש (עץ קטגוריות)"
"Catalog Seo Sitemap (Common)","מונחי חיפוש פופולריים בקטלוג בהתאמה למנועי החיפוש (נפוץ)"
"Catalog Seo Sitemap (Product List)","מונחי חיפוש פופולריים בקטלוג בהתאמה למנועי החיפוש (רשימת מוצרים)"
"Catalog URL Rewrites","שכתוב כתובת URL של קטלוג"
"Catalog, Search","קטלוג, חיפוש"
"Categories","קטגוריות"
"Categories Sitemap","מפת אתר לקטגוריות"
"Category","קטגוריה"
"Category API","ממשק קטגוריות"
"Category Data","נתוני קטגוריה"
"Category Flat Data","מידע Flat של קטגוריות"
"Category Link Block Template","תבנית בלוק קישור של קטגוריות"
"Category Link Inline Template","תבנית  קישור inline של קטגוריות"
"Category Products","מוצרי קטגוריה"
"Category Top Navigation","ניווט עליון של קטגוריות"
"Category URL Suffix","סיומת כתובות URL של קטגוריות"
"Category attributes API","תכנות ממשק קטגוריות"
"Category move error","שגיאה בהזזת קטגוריה"
"Category move operation is not possible: the new parent category was not found.","לא ניתן לבצע העברת קטגוריה, הקטגוריה הראשית החדשה לא נמצאה."
"Category must be an instance of Mage_Catalog_Model_Category.","קטגוריה חייבת להיות ערכאה של Mage_Catalog_Model_Category."
"Center","מרכז"
"Change","שינוי"
"Change or Retrieve attribute store view","שינוי או אחזור תכונות תצוגת חנות"
"Change status","שנה סטטוס"
"Check items to add to the cart or","סמן פריטים להוספה לעגלה"
"Choose an Option...","בחר אפשרות..."
"Clear All","נקה הכל"
"Close Window","סגור חלון"
"Collapse All","סגור הכל"
"Comma-separated.","מופרד בפסיק"
"Comparable","ניתן להשוואה"
"Comparable on Front-end","ניתן להשוואה באתר"
"Comparable on the Frontend","ניתן להשוואה בתצוגה ראשית"
"Compare","השווה"
"Compare Products","השוואת מוצרים"
"Conditions Combination","שילוב תנאים"
"Configurable Product","מוצר מורכב"
"Configurable Product Settings","מצר מורכב - הגדרות"
"Configure Product","התאם מוצר"
"Continue","המשך"
"Copy From Configurable","העתק ממורכב"
"Country/State","ארץ/מדינה"
"Create","צור"
"Create (Upload)","צור (העלה לשרת)"
"Create Empty","צור ריק"
"Create Permanent Redirect for old URL","צור הכוונה מחדש קבועה עבור ה-URL הישן "
"Create Permanent Redirect for old URLs if Url key changed","צור הכוונה מחדש עבור ה-URL הישן אם מפתח URL השתנה"
"Create Product Settings","צור הגדרות מוצר"
"Create Simple Associated Product","צור קישור פשוט למוצר שייך"
"Create new category","צור קטגוריה חדשה"
"Create new product","צור מוצר חדש"
"Cross-sells","פילוח מכירות"
"Currently Shopping by:","מבצע רכישות לפי:"
"Custom Design","עיצוב בהתאמה אישית"
"Custom Options","אפשרויות מותאמות"
"Customer Group","קבוצת לקוח"
"Customers Reviews","ביקורות לקוחות"
"Customers Tagged Product","מוצר מסומן עם תגית על יד לקוחות"
"Customers for alert %s were successfuly added to queue","לקוחות עבור אזהרה  %s נוספו בהצלחה לתור"
"Data Type for Saving in Database","סוג נתון - לשמירה בבסיס הנתונים"
"Date & Time Custom Options","תאריך ושעה - אפשרויות מותאמות אישית"
"Date Fields Order","תאריך שדות הזמנה"
"Date Subscribed","תאריך רישום"
"Datetime","תאריך/שעה"
"Decimal","עשרוני"
"Declare attribute value saving scope","הכרז על הקף שמירת ערכי תכונות"
"Default Price","מחיר ברירת מחדל"
"Default Price Navigation Step","מחיר שלב ניווט ברירת מחדל"
"Default Qty","כמות ברירת מחדל"
"Default Values","ערכי ברירת מחדל"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","הגדרת היקף מטבע בסיסי (""הגדרת מטבע"" > ""אפשרויות מטבע"" > ""מטבע בסיסי"")."
"Delete","מחק/מחיקה"
"Delete Attribute","מחק תכונה"
"Delete Attribute Set","מחק סט תכונות"
"Delete Category","מחק קטגוריה"
"Delete Option","מחק אופציה"
"Delete Row","מחר שורה"
"Delete Search","מחק חיפוש"
"Delete Selected Group","מחק קבוצה נבחרת"
"Delete category","מחק קטגוריה"
"Delete product","מחק מוצר"
"Depends on design theme","תלוי בערכת העיצוב"
"Design","עיצוב"
"Details","פרטים"
"Disabled","כבוי/לא פעיל"
"Disallowed file type.","סוג קובץ אסור"
"Display in Suggested Terms","הצג במונחים מומלצים"
"Double click on a group to rename it","לחץ לחיצה כפולה לשינוי שם קבוצה"
"Double click on above image to view full picture","לחץ לחיצה כפולה על התמונה כדי לראות מבט מלא"
"Downloadable Information","מוצר להורדה - מידע"
"Duplicate","שכפל"
"Duplicate website tier price customer group and quantity.","כפילות בתמחור שכבתי, קבוצות לקוח וכמות"
"Duplicate website, country and state tax found.","כפילות באתר, נמצא מס ארץ וגם מס מדינה."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","לדוגמא {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. ניתוח ביצוע קטלוג בהשפעת דרקטיבה דינמית  ."
"Edit","ערוך"
"Edit Attribute Set '%s'","ערוך סט תכונות '%s'"
"Edit Product Attribute","ערוך תכונת מוצר"
"Edit Product Attribute ""%s""","ערוך תכונת מוצר ""%s"""
"Edit Search","ערוך חיפוש"
"Edit Search '%s'","ערוך חיפוש '%s'"
"Edit Set Name","עריכת שם קבוצה"
"Email","דוא""ל"
"Email to %s was not sent.","דוא""ל עבור  %s לא נשלח."
"Email to a Friend","שלח לחבר"
"Empty","ריק"
"Enable Qty Increments","אפשר הגדלת כמויות "
"Enable WYSIWYG","אפשר וויסוינג"
"Enabled","פעיל"
"Error during retrieval of option value: %s","טעות מהלך שחזור ערך אפשרות :  %s"
"Exclude","לא כולל"
"Expand All","פתח הכל"
"Failed","נכשל"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","נכשל במהלך העתקת קובץ %s. אנא, מחר מדיה ללא תמונות ונסה שנית."
"Failed to move file: %s","נכשל בהזזת קובץ: %s"
"Feature Products","מוצרים בהצגה"
"Field is not complete","שדה לא שלם"
"File options format is not valid.","אפשרות פורמט קובץ לא אפשרית"
"File upload failed","העלאת קובץ נכשלה"
"Filter model name must be declared.","חייבים להכריז על שם מסנן המודל"
"Filter must be an object. Please set correct filter.","מסנן חייב להיות פריט. אנא, הגדר מסנן מתאים."
"Filterable (no results)","ניתן לסינון (ללא תוצאות)"
"Filterable (with results)","ניתן לסינון (עם תוצאות)"
"First Name","שם פרטי"
"Fixed","תוקן"
"For internal use.","לשימוש פינימי"
"Frontend","חלק קדמי"
"Frontend Model","מודל של חלק קדמי"
"Frontend Properties","מאפייני חלק קדמי"
"Gallery","גלרייה"
"General Information","מידע כללי"
"Get special price","קבל מחיר מיוחד"
"Global","גלובלי"
"Globally Editable","ניתן לעריכה באופן גלובלי"
"Go to Home Page","חזור לדף ראשי"
"Grid","רשת"
"Grouped Product","מוצר קבוצתי"
"Groups","קבוצות"
"Home","ראשי"
"ID","קוד/ת.ז/זיהוי"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","אם ריק, יבוצע שימוש בשם הקטגוריה"
"If empty, the Product Name will be used","אם ריק, יבוצע שימוש בשם המוצר"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","אם אתה לא מציין ערך עבור אפשרות תצוגת חנות , יבוצע שימוש בערך ברירת המחדל  (מנהל) ."
"Image","תמונה"
"Image content is not valid base64 data.","תוכן תמונה אינו מידע base64 תקין."
"Image does not exist.","תמונה לא קיימת."
"Image file was not found.","קובץ התמונה לא נמצא."
"Image type and information need to be specified for each store view.","סוג התמונה והמידע צריכים להיות מצויינים עבור כל חנות"
"In Stock","במלאי"
"In stock","במלאי"
"Incl. Tax","כולל מס"
"Index product and categories URL rewrites","אינדקס שכתובי כתובת URL של מוצרים וקטגוריות"
"Index product attributes for layered navigation building","אינדקס תכונות מוצרים עבור בניית ניווט layered"
"Index product prices","אינדקס מחירי מוצרים"
"Indexed category/products association","קטגוריות שבאינדקס/מוצרים קשורים"
"Info Column Options Wrapper","מידע Column Options Wrapper"
"Input Type","סוג שדה כתיבה"
"Integer","שלם"
"Invalid Tier Prices","תמכור שכבות שגוי"
"Invalid attribute %s.","מאפיין שגוי %s."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","נבחר מאפיין שגוי %s (%s), מדלג על הרשומה."
"Invalid attribute set specified, skipping the record.","נבחר קובץ מאפיינים שגוי, מדלג על הרשומה"
"Invalid block: %s.","בלוק שגוי: %s."
"Invalid category IDs."," ID קטגוריה שגויה."
"Invalid category.","קטגוריה שגויה."
"Invalid image file type.","סוג קובץ תמונה שגוי."
"Invalid image type.","סוג תמונה שגוי."
"Invalid option ID specified for %s (%s), skipping the record.","נבחרה אפשרות שגויה עבור  ID %s (%s) , מדלג על הרשומה "
"Invalid product type specified, skipping the record.","נבחר סוג מוצר שגוי, מדלג על הרשומה."
"Invalid store specified","צויינה חנות שגויה"
"Invalid store specified, skipping the record.","צויינה חנות שגויה , מדלג על הרשומה."
"Invalid tier prices. The product is not associated to the requested website.","מחיר לא תקין. המוצר שנבחר לא מקושר לאתר שנבחר."
"Invalid transactional email code.","קוד דוא""ל העברה שגוי."
"Inventory","מלאי"
"Is Default","הוא ערך ברירת מחדל"
"Is Required","נדרש"
"Items %s to %s of %s total","פריטים %s עד %s מתוך %s פרטים"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","לפריטים שאתה לא מעוניין להציג בקטלוג או בתוצאות החיפוש יש להתאים סטאטוס 'לא פעיל' בחנות המתאימה."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","פריטים שאינך רוצה שיופיעו בקטלוג או בתוצאות חיפוש צריכים להיות ""לא פעילים"" בחנות הרצויה"
"Keep your eyes open for our special Back to School items and save A LOT!","שים לב! ההצעות המיוחדות שלנו יחסכו לכם כסף וזמן!"
"Label","תוית"
"Last Name","שם משפחה"
"Last Notification","תזכורת אחרונה"
"Layered Navigation","ניווט layered"
"Learn More","למד עוד"
"Line %d, Email: %s","שורה %d, אמייל: %s"
"Line %d, SKU: %s","שורה %d, מק""ט: %s"
"Link (Related, Up sell, Cross sell)","קישור (Related, Up sell, Cross sell)"
"Link product does not exist.","מוצר מקושר לא קיים"
"Link to a Specified Category","קישור לקטגוריה נבחרת"
"Link to a Specified Product","קישור למוצר נבחר"
"List","רשימה"
"List Mode","תצוגת רשימה"
"List of Products that are set as New","רשימת מוצרים חדשים"
"Manage Attribute Sets","תכונות/מאפיינים - ניהול סטים"
"Manage Attributes","ניהול תכונות מוצר"
"Manage Catalog Categories","ניהול קטגוריות קטלוג"
"Manage Categories","ניהול קטגוריות"
"Manage Label / Options","ניהול תוית /אפשרויות"
"Manage Options (values of your attribute)","אפשרויות ניהול  (ערכים של תכונות)"
"Manage Product Attributes","ניהול מאפייני מוצר"
"Manage Product Sets","מוצרים - ניהול סטים"
"Manage Products","ניהול מוצרים"
"Manage Stock","ניהול מלאי"
"Manage Titles (Size, Color, etc.)","ניהול כותרות (גודל, צבע וכו')"
"Max Characters","מקסימום תוים"
"Maximal Depth","עומק מקסימלי"
"Maximum Image Size","גודל תמונה מקסימלי"
"Maximum Qty Allowed in Shopping Cart","כמות מקסימלית מורשית בעגלת הקניות"
"Maximum image height","גובה תמונה מקסימלי"
"Maximum image width","רוחב תמונה מקסימלי"
"Maximum number of characters:","מספר מקסימלי של תווים:"
"Media Image","מדיה תמונה"
"Minimum Lines per Page","מינימום שורות בעמוד"
"Minimum Qty Allowed in Shopping Cart","כמות מינימלית המורשית בעגלת הקניות"
"Minimum Qty for Item\'s Status to be Out of Stock","כמות מינימלית כדי שסטטוס פריט יהיה ""לא במלאי"""
"Missing SKU, skipping the record.","חסר מק""ט , מדלג על הרשומה"
"More Views","תצוגות נוספות"
"Move","העבר"
"Move category in tree","העבר קטגוריה בעץ"
"Must be in the allowed values list.","חייב להיות ברשימת הערכים המאושרים"
"N/A","לא זמין"
"Name","שם"
"Name in %s","שם ב %s"
"New Product","מוצר חדש"
"New Product Attribute","תכונת/מאפיין מוצר חדש"
"New Products","מוצרים חדשים"
"New Products Grid Template","תבנית רשת של מוצרים חדשים"
"New Products List Template","תבנית רשימה של מוצרים חדשים"
"New Root Category","קטגורית מקור חדשה"
"New Search","חיפוש חדש"
"New Set Name","שם סט חדש"
"New Subcategory","תת קטגוריה חדשה"
"Next","הבא"
"No","לא"
"No image","ללא תמונות"
"No layout updates","אין עדכוני פריסת עמוד"
"No options of this product are available.","אין אפשרויות זמינות למוצר זה."
"No product collections found.","לא נמצא אוסף מוצרים"
"None","ללא"
"Not Visible Individually","לא גלוי בהפרדה"
"Notify Low Stock RSS","הודעה כאשר Low Stock RSS"
"Notify for Quantity Below","התרע לכמות מתחת"
"Number of Products to Display","מספר מוצרים לתצוגה"
"Number of Uses","כמות שימושים"
"Number of results<br/>(For the last time placed)","מספר תוצאות<br/>(בפעם האחרונה שהוזנו)"
"OK","OK"
"OR","או"
"Old Price:","מחיר ישן:"
"Option validation failed to add product to cart.","אימות אפשרות נכשל "
"Option:","אפשרות:"
"Options Control","התאמת אפשרויות"
"Options is required","אפשרות נדרשת"
"Our customer service is available 24/7. Call us at (555) 555-0123.","שירות הלקוחות שלנו פעיל 24/7. צור קשר בטל' (555) 555-0123."
"Out of Stock","אין במלאי"
"Out of stock","אין במלאי"
"PM","PM"
"Page Title Separator","עמוד - מפריד כותרת"
"Parent Category","קטגוריית אב"
"Pending","בהמתנה"
"Pending Reviews RSS","סיקורים בהמתנה RSS"
"Percentage","אחוז"
"Please add rows to option.","אנא, הוסף שורות לאפשרות"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","שים לב, ברגע שתלחץ על שורה, חבילת מידע תועלה מהקובץ הנבחר וכל המידע שאינו שמור ימחק."
"Please click on the Close Window button if it is not closed automatically.","אנא, לחץ על כפתור 'סגור' אם החלון לא נזכר באופן אוטומטי"
"Please enter a new group name","אנא הכנס שם קבוצה חדשה"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","אנא רענן ""שכתובי כתובת URL של קטלוג"" ו ""תכונות מוצרים "" במערכת -> <a href=""%s"">ניהול אינדקס</a>"
"Please select a static block ...","אנא, בחר בלוק סטאטי"
"Please select items.","אנא, בחר פריט."
"Please select one or more attributes.","בחר מאפיין אחד או יותר"
"Please select product(s).","אנא בחר מוצר(ים)"
"Please select products for attributes update","בחר מוצרים לעדכון מאפיינים"
"Please specify date required option(s).","אנא, ציין אפשרות תאריך נדרשת(ות)."
"Please specify the product required option(s)","ציין את אפשרות(יות) המוצר הנדרשת(ות)"
"Please specify the product required option(s).","ציין את אפשרות(יות) המוצר הנדרשת(ות)"
"Please specify the product\'s option(s).","ציין את אפשרות(יות) המוצר"
"Please specify the product\'s required option(s).","ציין את אפשרות(יות) המוצר הנדרשת(ות)"
"Please specify the quantity of product(s).","אנא, ציין כמות מוצר(ים)."
"Please specify time required option(s).","אנא, ציין אפשרות הזמן הנדרשת (ות)"
"Please wait...","אנא המתן..."
"Position","מיקום"
"Position in Layered Navigation","מיקום בניווט layered"
"Position of attribute in layered navigation block","מיקום תכונה בבלוק ניווט layered"
"Prev","קודם"
"Previous","קודם"
"Price","מחיר"
"Price Navigation Step Calculation","חישוב מחיר שלב ניווט"
"Price Type","סוג מחיר"
"Price is not available","בחירת מחיר לא קיימת"
"Price values for options should be specified in system base currency.","אפשרויות ערכי מחיר צריכות להיות מצוינות במטבעות הבסיסיים של המערכת."
"Price:","מחיר:"
"Price: %s","מחיר: %s"
"Print This Page","גרסת הדפסה"
"Product","מוצר"
"Product API","ממשק ניהול מוצרים"
"Product Alerts","תזכורות מוצר"
"Product Attribute","מאפיין המוצר"
"Product Attributes","מאפייני המוצר"
"Product Categories","קטגוריות מוצר"
"Product Description","תיאור המוצר"
"Product Extra Info","מידע נוסך אודות המוצר"
"Product Flat Data","מידע אודות המוצר"
"Product ID","קוד מוצר"
"Product Image Placeholders","מצייני מיקום של תמונות המוצר"
"Product Image Watermarks","סימני מים של תמונות המוצר"
"Product Images","תמונות המוצר"
"Product Images API","ממשק ניהול תמונות מוצרים "
"Product In Websites","מוצר באתרים"
"Product Info Column","עמודת מידע אודות המוצר"
"Product Information","עריכת מוצר"
"Product Link Block Template","תבנית בלוק קישור המוצר"
"Product Link Inline Template","תבנית פנימית של  קישור המוצר"
"Product Listing Sort by","סידור מוצרים לפי"
"Product Name","שם המוצר"
"Product Prices","מחירי מוצרים"
"Product Reviews","סיקורי מוצר"
"Product Tags","תגיות מוצר"
"Product Tier Price API","ממשק ניהול רמות מחירי מוצרים"
"Product Type","סוג מוצר"
"Product URL Suffix","סיומות URL של מוצרים"
"Product View Extra Hint","רמז 'צפייה נוספת' של המוצר"
"Product attribute sets API","ממשק ניהול קבוצות מאפייני המוצר"
"Product attributes API","ממש ניהול של מאפייני המוצר"
"Product collection expected.","אוספי מוצרים צפויים"
"Product is not loaded","מוצר לא נטען"
"Product links API (related, cross sells, up sells)","ממשק ניהול קישורי מוצר(related, cross sells, up sells)"
"Product name","שם המוצר"
"Product types API","ממשק ניהול סוגי מוצר"
"Product with this combination of attributes already associated to configurable.","מוצר עם צירוף אפשרויות זה מקושר כבר למוצר מוגדר"
"Products","מוצרים"
"Products Comparison List","רשימת השוואת מוצרים"
"Products Information","עריכת מוצרים"
"Products Reviews","סקירות מוצרים"
"Products Sitemap","מפת אתר של מוצרים"
"Products only","רק מוצרים"
"Products per Page on Grid Allowed Values","מוצרים לעמוד ברשת הערכים המאושרת "
"Products per Page on Grid Default Value","מוצרים לעמוד ברשת הערכים ברירת המחדל "
"Products per Page on List Allowed Values","מוצרים לעמוד בערכי קישורים המאושרים "
"Products per Page on List Default Value","מוצרים לעמוד בערכי קישורים ברירת המחדל "
"Properties","תכונות"
"Qty","כמות"
"Qty Increments","הפרשי כמויות"
"Qty Uses Decimals","כמות - שימוש בנקודה עשרונית"
"Qty for Item\'s Status to become Out of Stock","כמות הפריטים שהסטאטוס שלהם ישתנה ל 'נגמר במלאי'"
"Qty:","כמות:"
"Quantity","כמות"
"Quick Create","יצירה מהירה"
"Quick Overview","סקירה מהירה"
"Quick simple product creation","יצירה מהירה של מוצר פשוט"
"Records for ""","רשומות ל """
"Redirect","נתב מחדש"
"Redirect URL","כתובת לניתוב חדש"
"Regular Price:","מחיר רגיל:"
"Related Products","מוצרים נלווים"
"Remove","הסר"
"Remove Product From Websites","הסר מוצרים מהאתר"
"Remove This Item","הסר פריט זה"
"Remove product assignment","הסר הקצאה של מוצר"
"Remove product image","הסר תמונת מוצר"
"Remove product link","הסר קישור מוצר"
"Reorganize EAV category structure to flat structure","סדר מבנה קטגוריה  EAV למבנה flat "
"Reorganize EAV product structure to flat structure","סדר מבנה מוצר  EAV למבנה flat "
"Reset","התחל מחדש"
"Results","תוצאות"
"Retrieve attribute data","אחזר תכונות מידע"
"Retrieve attribute list","אחזר רשימת תכונות"
"Retrieve attribute options","אחזר אפשרויות תכונות"
"Retrieve categories tree","אחזר עץ קטגוריות"
"Retrieve category attributes","אחזר תכונות קטגוריה"
"Retrieve category data","אחזר מידע קטגורי"
"Retrieve hierarchical tree","אחזר עץ היררכיה"
"Retrieve linked products","אחזר מוצרים מקושרים"
"Retrieve list of assigned products","אחזר רשימת מוצרים מיועדים"
