"-OR-","-או-"
"General: non-payment fee of a type not belonging to the other T01xx categories","כללי : עמלה שלא לתשלום מסוג שאינו שייך לקטגוריות  T01xx "
"General: received payment of a type not belonging to the other T00xx categories","כללי : תשלומים שהתקבלו מסוג שאינו שייך לקטגוריות  T00xx "
"General: reversal of a type not belonging to the other T11xx categories","כללי : היפוך מסוג שאינו שייך לקטגוריות  T11xx "
"General: temporary hold of a type not belonging to the other T15xx categories","כללי : השהייה זמנית מסוג שאינו שייך לקטגוריות  T15xx "
"Get Credentials from PayPal","קבל אישורים מ PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","תשלום אישור ברכה: רכישה של אישור ברכה"
"Gift Certificate Redemption","פדיון אישור ברכה"
"Gross Amount","סכום ברוטו"
"Header Background Color","צבע רקע של כותר עליון"
"Header Border Color","צבע גבול של כותר עליון"
"Header Image URL","כתובת URL של כותר עליון"
"Help","עזרה"
"Hidden Virtual PayPal Debit Card Transaction","העברות כרטיס חיוב וירטואלי מוסתר של  PayPal "
"Hold for Dispute Investigation","השהה לשם ביצוע חקירת ויכוח "
"IPN ""%s"".","IPN ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","אם ריק, יבוצע שימוש בערך ברירת מחדל. כתובות URL מותאמות ניתן לקבל מ cardinalCommerce  "
"If not specified, Default Country from General Config will be used","אם לא צוין אחרת, יבוצע שימוש במדינת ברירת מחדל"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","אם אפשרות זאת אפשרית, הלקוח יכול לשנות כתובת משלוח ושיטת משלוח באתר PayPal. רק במוד לייב באמצעות פרוטוקול HTTPS בלבד."
"Impossible to issue a refund transaction because the capture transaction does not exist.","לא ניתן ליצור החזר על ההעברה מכיוון שלכידת ההעברה לא קיימת"
"Incentive","תמריץ"
"Initiation Date","תאריך התחלה"
"Integral Evolution","Integral Evolution"
"Integral Evolution Settings"," הגדרות Integral Evolution"
"Invoice ID","קוד ID של חיוב"
"Issuer Liability","אמינות הפונה"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","מומלץ להגדיר ערך זה ל ""כרטיס אשראי או חיוב"" עבור תצוגות חנות"
"It is recommended to set this value to ""PayPal"" per store views.","מומלץ להגדיר ערך זה ל ""PayPal"" עבור תצוגות חנות"
"Items in Your Shopping Cart","פריטים בעגלת הקניות שלך"
"Last Correlation ID","קוד ID מתאם אחרון"
"Last Transaction ID","קוד ID העברה אחרונה"
"Learn More","למד עוד"
"Login","כניסה"
"Looking for PayPal? We have our own tab to the left under Sales.","מחפש את PayPal? יש לנו קישור מתחת למכירות."
"Mass Pay Payment","תשלום מרובה"
"Matched (CVV2)","תואם (CVV2)"
"Matched (CVV2CSC)","תואם (CVV2CSC)"
"Matched Address only (no ZIP)","כתובת בלבד תואמת (לא מיקוד)"
"Matched Address only (no ZIP). International","כתובת בלבד תואמת (לא מיקוד). בין לאומי"
"Matched Postal Code only (no Address)","מיקוד בלבד תואם (אין כתובת)"
"Matched five-digit ZIP only (no Address)","מיקוד חמש ספרתי בלבד תואם (אין כתובת)"
"Matched whole nine-didgit ZIP (no Address)","מיקוד תשע ספרתי בלבד תואם (אין כתובת)"
"Merchant Account","חשבון סוחר"
"Merchant Country","מדינת סוחר"
"Merchant Liability","אמינות סוחר"
"Merchant Protection Eligibility","זכאות הגנה של סוחר"
"Merchant Referral Bonus","בונוס מפנה של סוחר"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","הסוחר בעל חשבון לא מארה""ב ואינו בעל מנגנון נסיגה."
"Merchant reference ID format is not supported.","פורמט קוד ID של סוחר מפנה אינו נתמך."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","הסוחר חייב להרשם ל  PayPal כדי לאפשר מאפיינים של הסכמי חיוב. אל תאפשר אפשרות זאת עד ש PayPal לא יאשר את הסכמי החיוב עבור חשבון הסוחר שלך."
"Mobile Payment (made via a mobile phone)","תשלום מנייד (בוצע באמצעות מכשיר נייד)"
"N/A","לא זמין"
"N/A. Address not checked, or acquirer had no response. Service not available","לא זמין. כתובת לא נבדקה, או שהרוכש לא החזיר תשובה. שירות לא זמין"
"N/A. Global Unavailable","לא זמין. אי זמינות גלובלית"
"N/A. International Unavailable","לא זמין. אי זמינות בין לאומית"
"N/A. Merchant has indicated that CVV2 is not present on card","לא זמין. הסוחר ציין כי  CVV2 לא נמצא בכרטיס"
"N/A. No response","לא זמין. אין תשובה"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","לא זמין. לא זמין עבו העברות  MOTO (אינטרנט/טלפון)"
"N/A. Not processed","לא זמין. לא עובד"
"N/A. Retry","לא זמין. נסה שנית"
"N/A. Service not Supported","לא זמין. שירות לא נתמך"
"N/A. Service not available","לא זמין. שירות לא זמין"
"N/A. Service not supported","לא זמין. שירות לא נתמך"
"N/A. The merchant did not provide AVS information","לא זמין. הסוחר לא העביר פרטי AVS "
"N/A. The merchant has not implemented CVV2 code handling","לא זמין. הסוחר לא אפשר שימוש בקוד CVV2 "
"N/A. Unavailable","לא זמין. לא אפשרי"
"Negative Balance","מאזן שלילי"
"Never","לעולם לא"
"No","לא"
"No Details matched","אין פרטים תואמים"
"No Details matched. International","אין פרטים תואמים. בין לאומי"
"No Liability Shift","אין תזוזת אחריות"
"No Logo","אין לוגו"
"No match","אין התאמה"
"None of the address information matched","אף אחד מפרטי הכתובות לא תאמו"
"Note: %s","שים לב: %s"
"Nothing to fetch because of an empty configuration.","לא ניתן ללכוד דבר בגלל שההגדרות ריקות."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","שים לב כי  PayPal יכולים לתפעל 10 אפשרויות שילוח. לכן,  Magento יעביר רק את עשרת אפשרויות השילוח הזולות ביותר, גם אם קיימות יותר מעשר אפשרויות ."
"Notified customer about creditmemo #%s.","עדכן לקוח אודות תזכיר אשראי #%s."
"Notified customer about invoice #%s.","עדכן לקוח אודות חשבונית #%s."
"Now accepting PayPal (150 X 40)","כעת מקבל  PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","כעת מקבל PayPal (150 X 60)"
"Open Authorization","אימות פתוח"
"Order","הזמנה"
"Order ID","קוד ID של הזמנה"
"Page Background Color","צבע רקע של דף"
"Page Style","סגנון עמוד"
"Part of the address information matched","חלק מפרטי הכתובת תאמו"
"Partner","שותף"
"Pasarela integral","Pasarela integral"
"Pasarela integral Settings","הגדרות Pasarela integral "
"Password","סיסמא"
"Pay Now","שלם עכשיו"
"PayPal","PayPal"
"PayPal Balance Manager function of PayPal account","PayPal אפשרות ניהול מאזן של חשבון PayPal "
"PayPal Buyer Warranty Bonus","PayPal בונוס אחריות קונה"
"PayPal Debit Card Cash Advance","PayPal כרטיס חיוב מזומן מראש"
"PayPal Debit Card Withdrawal from ATM","PayPal כרטיס חיוב למשיכה מבנקט"
"PayPal Express Checkout Shortcut Wrapper","PayPal קיצור דרך של צ'ק אאוט מהיר"
"PayPal Express Checkout Token does not exist.","PayPal סמל צ'ק אאוט מהיר לא קיים."
"PayPal Express Order Review Form","PayPal טופס סקירת הזמנה מהירה"
"PayPal Fee Information","PayPal פרטי עמלה"
"PayPal Merchant Pages Style","סגנון עמודי סוחר של PayPal"
"PayPal Pro","PayPal Pro"
"PayPal Pro Settings","הגדרות PayPal Pro "
"PayPal Product Logo"," לוגו מוצר PayPal"
"PayPal Protection Bonus","PayPal בונוס אבטחה"
"PayPal Reference ID","PayPal קוד ID של מפנה"
"PayPal Reference ID Type","PayPal סוג קוד Iג של מפנה"
"PayPal Settlement Reports","PayPal דוחות פרעון"
"PayPal certificate does not exist.","PayPal אישור אינו קיים."
"PayPal certificate file is empty.","PayPal קובץ אישור אינו מכיל תוכן."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal לא תומכך בביצוע הזמנות בעלות אפסית. כדי לבצע את הרכישה שלך, המשך בביצוע הצ'ק אאוט הרגיל."
"PayPal gateway has rejected request. %s","PayPal דחה את הבקשה. %s"
"PayPal processes all of your orders, and you get paid.","פתרון בו PayPal מעבד את כל ההזמנות שלך, ואתה מקבל תשלום."
"PayPal response hasn't required fields.","PayPal לא דרשו שדות בתשובה."
"PayPal retains reports for 45 days.","PayPal שומרת על דוחות במשך 45 יום."
"PayPal/Centinel Electronic Commerce Indicator"," מחוון מסחר אלקטרוני של PayPal/Centinel"
"PayPal/Centinel Visa Payer Authentication Service Result","תוצאת שירות אימות ויזה של משלם ב PayPal/Centinel "
"Payer Address ID","קוד כתובת ID של משלם"
"Payer Address Status","סטאטוס כתובת משלם"
"Payer Email","דוא""ל משלם"
"Payer Email: %s","Payer Email: %s"
"Payer ID","קוד ID של משלם"
"Payer Status","סטאטוס משלם"
"Payer is not identified.","המשלם לא זוהה"
"Payflow Link (for USA and Canada)","קישור Payflow  (עבור ארה""ב וקנדה)"
"Payflow Link Settings","הגדרות קישור Payflow"
"Payflow Pro Gateway","שערי Payflow Pro "
"Payflow Pro Settings","הגדרות Payflow Pro "
"Payment Action","פעולת תשלום"
"Payment Applicable From","תשלום ישים מ"
"Payment Method","שיטת התשלום"
"Payment Refund initiated by merchant","תהליך החזר תשלום ניזם על ידי הסוחר."
"Payment has been declined. Please try again.","התשלום נדחה. אנא, נסה שנית."
"Payments by PayPal (150 X 40)","תשלומים באמצעות PayPal (150 X 40)"
"Payments by PayPal (150 X 60)",",תשלומים באמצעות PayPal (150 X 60)"
"Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>","תשלומים באמצעות כרטיסי אשראי+ אבטחת מוכר - <strong style=""color:red"">צור קשר עם  PayPal לפני הפעלה</strong>"
"Paypal Billing Agreement Settings","הגדרות הסכם חיוב Paypal "
"Pending PayPal","Paypal בהמתנה"
"Place Order","בצע הזמנה"
"Please do not refresh the page until you complete payment.","אל תרענן את הדף לפני השלמת תהליך התשלום."
"Please select a shipping method...","אנא בחר את שיטת השילוח..."
"Points Incentive Redemption","נקודות תמריץ פדיון"
"Postage Payment to either USPS or UPS","תשלום דמי משלוח או USPS או UPS"
"Preapproved Payment (BillUser API), either sent or received","תשלום שאושר מראש  (BillUser API), נשלח או התקבל"
"Preapproved Payment ID","קוד ID של תשלום מאושר מראש"
"Price","מחיר"
"Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution.","עיבוד כרטיסי אשראי  ישירות באתר שלך באמצעות PayPal. פתרון כולל לניהול מערכת תשלומים מקוונת.  "
"Product Name","שם המוצר"
"Proxy Host"," שרת Proxy"
"Proxy Port","פורט Proxy "
"Qty","כמות"
"Quick set-up service lets your customers securely complete transactions.","שירות התקנה מהיר מאפשר ללקוחות שלך לבצע העברות בצורה מאובטחת "
"Reauthorization","אישור מחדש"
"Reference Information","פרטי הפנייה"
"Refund issued by merchant.","החזר הונפק על ידי סוחר"
"Reimbursement for a chargeback.","Reimbursement for a chargeback."
"Reimbursement of Chargeback","Reimbursement of Chargeback"
"Report Date","תאריך דו""ח"
"Reports","דו""חות"
"Require CVV Entry","דרוש הכנסת CVV "
"Reversal","הפיכה"
"Reversal of General Account Hold","הפיכה של המתנה כללית של חשבון"
"Reversal of Points Usage","הפיכה של שימוש נקודות"
"Reversal of an adjustment.","הפיכה של התאמה"
"Reversal of hold for Dispute Investigation","הפיכה של המתנה לחקירת מריבה"
"Review Order","סקור ההזמנה"
"Reward Voucher Redemption","פדיון וואוצ'ר גמול"
"SFTP Credentials","אישורי SFTP"
"Sale","מכירה"
"Sales","מכירות"
"Sandbox Credentials","המלצות של ארגז חול"
"Sandbox Mode","מצב ארגז חול"
"Schedule","לו""ז"
"Schedule description is too long.","תיאור לו""ז ארוך מדי"
"Scheduled Fetching","לכידת לו""ז"
"Select a PayPal Solution","בחר בפתרון של PayPal"
"Settlement Consolidation","גיבוש הסדר "
"Settlement Report Settings","הגדרות דוח הסדר"
"Settlement of a chargeback.","הסדר עבור chargeback."
"Severe 3D Secure Card Validation","אימות חמור של כרטיס אבטחה 3D"
"Severe Validation Removes Chargeback Liability on Merchant","אימות חמור מסיר אמינות  Chargeback Liability של סוחר"
"Severe validation removes chargeback liability on merchant.","אימות חמור מסיר אמינות  Chargeback Liability של סוחר"
"Shipping","משלוח"
"Shipping Address","כתובת למשלוח"
"Shipping Information","פרטי המשלוח"
"Shipping Method","שיטת משלוח"
"Shop now using (150 X 40)","החנות משתמשת עכשיו ב (150 X 40)"
"Shop now using (150 X 60)","החנות משתמשת עכשיו ב (150 X 60)"
"Shortcut","קיצור"
"Shortcut Buttons Flavor","טעם כפתורי קיצור"
"Shortcut on Product View","קיצור בתצוגת מוצר"
"Shortcut on Shopping Cart","קיצור בעגלת קניות"
"Sign a billing agreement to streamline further purchases with PayPal."," חתום על הסכם חיוב כדי להמשיך בביצוע רכישות באמצעות PayPal."
"Solo","Solo"
"Sorry, no quotes are available for this order at this time.","אנו מתנצלים. בשלב זה אין הצעות מחיר להזמנה זו."
"Sort Order","סדר מיון"
"Static","קבוע"
"Submitting order information...","שולח מידע על ההזמנה..."
"Subscriber name is too long.","שם נרשם ארוך מדי"
"Subscription ID","קוד ID של רישום"
"Subscription Payment, either payment sent or payment received","תשלום רישום, תשלום נשלח או התקבל"
"Subtotal","סך ביניים"
"Summary Text for Aggregated Cart","טקסט סיכום עבור סל עגלת קניות נצבר"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","תמיכה בכרטיסי  American Express צורכת הסכמים נוספים. למד עוד ב <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestro"
"Test Mode","מצב בדיקה"
"The background color for the checkout page around the header and payment form.","צבע הרקע בדף הצ'ק אאוט באזור הכותר העליון וטופס התשלום."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","צבע הרקע בדף הצ'ק אאוט באזור הכותר העליון . הערך הנתון צריך להיות קוד הקסה דצימלי תלוי רישיות בעל שישה תוים."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","הגודל המקסימלי של התמונה בחלק העליון השמאלי של דף הצ'ק אאוט. הגודל המקסימלי הינו 750X90 פיקסלים. <strong style=""color:red;""> הוספת הערך https הינה מומלצת מאוד.</strong>"
"The merchant account is not yet verified.","לא אושר חשבון סוחר עדיין."
"The payment curency does not match any of the merchant\'s balances currency.","מטבע תשלום נבחר אינו תואם אף אחד מהמטבעות של הסוחר."
"The payment eCheck is not yet cleared.","לא הובהר eCheck התשלום."
"The payment is authorized but not settled.","התשלום אושר אבל לא הוסדר"
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","התשלום בהמתנה מכיוון שהוא בוצע עבור כתובת דוא""ל שלא נרשמה או שלא אושרה עדיין"
"The payment is pending while it is being reviewed by PayPal for risk.","התשלום ממתין בזמן בדיקת התשלום ב PayPal"
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","התשלום בוצע באמצעות כרטיס אשראי. כדי לקבל קרנות, הסוחר חייב לשדרת את החשבון למצב  Business או Premier."
"There was an error processing your order. Please contact us or try again later.","ארעה שגיאה במהלך עיבוד ההזמנה. אנא , צור קשר או נסה שנית מאוחר יותר"
"Time of Day","זמן ביום"
"Title","כותרת"
"Transaction ID","קוד ID של העברה"
"Transaction Information","פרטי העברה"
"Transfer Cart Line Items","העברה של פריטים שבעגלת קניות"
"Transfer Shipping Options","העברה של אפשרויות משלוח"
"Triggered Fraud Filters","הופעל מסנן הונאות"
"Unable to cancel Express Checkout.","לא ניתן לבטל צ'ק אאוט מהיר"
"Unable to change status. Current status is not correspond to real status.","לא ניתן לשנות סטאטוס. סטאטוס עדכני אינו תואם את הסטאטוס האמיתי."
"Unable to communicate with the PayPal gateway.","לא נוצרה תקשורת תקינה עם PayPal"
"Unable to initialize Express Checkout review.","לא ניתן להפעיל סקירה של צ'ק אאוט מהיר"
"Unable to initialize Express Checkout.","לא ניתן להתחיל צ'ק אאוט מהיר"
"Unable to place the order.","לא ניתן לבצע הזמנה"
"Unable to process Express Checkout approval.","לא ניתן לעבד אישור צ'ק אאוט מהיר"
"Unable to start Express Checkout.","לא ניתן להתחיל צ'ק אאוט מהיר"
"Unable to update shipping method.","לא ניתן לעדכן שיטות משלוח"
"Unknown reason. Please contact PayPal customer service.","סיבה לא ידועה. אנא צור קשר עם תמיכת לקוחות של PayPal."
"Update Shipping Method","עדכן צורת משלוח"
"Use Proxy","השתמש בפרוקסי"
"Use colon to specify port. For example: ""test.example.com:5224"".","השתמש בעמודה כדי לאתר פורט. למשל: ""test.example.com:5224""."
"User","משתמש"
"User-initiated Currency Conversion","משתמש- הפעיל העברת מטבע"
"Uses store frontend name by default.","משתמש בשם תצוגת חנות לפי ברירת מחדל"
"Vendor","מוכר"
"View","הצג"
"View Demo","הצג דמו"
"View PayPal solutions.","הצג פתרונות PayPal"
"View Transaction","הצג העברות"
"View Transaction Details","הצג פרטי העברות"
"Virtual PayPal Debit Card Transaction","העברות כרטיס חיוב וירטואלי של PayPal"
"Virtual Terminal Payment","טרמינל תשלום וירטואלי"
"Void","ריק"
"We prefer PayPal (150 X 40)","אנחנו מעדיפים PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","אנחנו מעדיפים PayPal (150 X 60)"
"Website Payments Plus","Website Payments Plus"
"Website Payments Plus Settings"," הגדרות Website Payments Plus "
"Website Payments Pro","Website Payments Pro"
"Website Payments Pro (Payflow Edition) Settings","הגדרות Website Payments Pro (גרסת Payflow ) "
"Website Payments Pro Hosted Solution","פתרונות Website Payments Pro Hosted "
"Website Payments Pro Hosted Solution Settings","הדרות פתרונות Website Payments Pro Hosted "
"Website Payments Pro Payflow Edition (includes Express Checkout)","Website Payments Pro גרסת  Payflow  (כולל צ'ק אאוט מהיר)"
"Website Payments Pro Settings","הגדרות Website Payments Pro "
"Website Payments Standard","Website Payments Standard"
"Website Payments Standard Payment","תשלומי Website Payments Standard "
"Website Payments Standard Settings","הגדרות Website Payments Standard "
