"Europe First Priority","עדיפות אירופאית ראשונה"
"Express","מהיר"
"Express 10:30 AM","מהיר עד 10:30"
"Express Mail","דואר מהיר"
"Express Saturday","אקספרס שבת"
"Express Saver","שומר אקספרס"
"Failed to parse xml document: %s","כישלון בביצוע ניתוח מסמך  xml : %s"
"FedEx","פדקס"
"FedEx 10kg Box","פדקס - קופסא 10ק""ג"
"FedEx 25kg Box","פדקס - קופסא 25ק""ג"
"FedEx Box","פדקס - קופסא"
"FedEx Envelope","פדקס - מעטפה"
"FedEx Pak","פקדס - חבילה"
"FedEx Tube","פדקס - גליל (TUBE)"
"First Overnight","לילה ראשון"
"First-Class","מחלקה ראשונה"
"Flat","Flat"
"Flat-Rate Box","קופסת Flat-Rate"
"Flat-Rate Envelope","מעטפת Flat-Rate"
"Free Method","שיטה חינמית"
"Free Shipping with Minimum Order Amount","משלוח חינם עם כמות הזמנה מינימלית"
"Gateway URL","כתובת URL של שער"
"Gateway XML URL","כתובת URL של שער XML"
"Ground","יבשתי"
"Ground Commercial","יבשתי מסחרי"
"Ground Residential","יבשתי מגורים פרטיים"
"Handling Applied","טיפול הופעל"
"Handling Fee","עמלת טיפול"
"Home Delivery","משלוח הביתה"
"International Economy","בין לאומי- Economy"
"International Express","בין לאומי- אקספרס"
"International First","בין לאומי- ראשון"
"International Priority","בין לאומי- עדיפות"
"International Shipment Days","בין לאומי- ימי משלוח"
"Intl Economy Freight","דמי שילוח Economy בין לאומי"
"Intl Priority Freight","דמי שילוח עדיפות בין לאומית"
"Invalid DHL XML code for type %s: %s.","Iקוד DHL XML לא תקין עבור סוג %s: %s."
"Invalid DHL XML code type: %s.","סוג קוד DHL XML לא תקין: %s."
"Invalid FedEx XML code for type %s: %s","קוד עבור סוג FedEx XML לא תקין %s: %s"
"Invalid FedEx XML code type: %s","סוג קוד FedEx XML לא תקין: %s"
"Invalid UPS CGI code for type %s: %s","קוד עבור סוג  UPS CGI לא תקין  %s: %s"
"Invalid UPS CGI code type: %s","סוג קוד UPS CGI לא תקין: %s"
"Kilograms","קילוגרמים"
"Large","גדול"
"Letter","מכתב"
"Library","ספרייה"
"Live","לייב"
"Machinable","ממוכן"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","משקל מקסימלי של חבילה (אנא , צור קשר עם חברת השילוח שלך עבור משקל שילוח מקסימלי)"
"Media Mail","מדיה - אימייל"
"Minimum Order Amount for Free Shipping","סכום מינימלי להזמנה עבור משלוח בחינם"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","משקל מינימלי של חבילה (אנא , צור קשר עם חברת השילוח שלך עבור משקל שילוח מינימלי)"
"Mode","מוד"
"Next Afternoon","אחה""צ הבא"
"Next Day Air","זמן אוויר יום הבא"
"Next Day Air Early AM","AM מוקדם של זמן אוויר ביום הבא"
"Next Day Air Early AM Letter","מכתב AM מוקדם של זמן אוויר ביום הבא"
"Next Day Air Intra (Puerto Rico)","זמן אוויר Intra (Puerto Rico)"
"Next Day Air Letter","מכתב זמן אוויר יום הבא"
"Next Day Air Saver","שומר זמן אוויר יום הבא"
"Next Day Air Saver Letter","מכתב שומר זמן אוויר יום הבר"
"No","לא"
"Non-rectangular","לא מלבני"
"Order","הזמנה"
"Origin of the Shipment","מקור המשלוח"
"Oversize","חריגת גודל"
"Package","חבילה"
"Package Description","תיאור חבילה"
"Packaging","אריזה/מארזים"
"Parcel","קבוצה"
"Parcel Post","שילוח קבוצתי"
"Password","סיסמא"
"Pickup Method","שיטת איסוף"
"Please enter the package weight","הקלד את משקל החבילה"
"Please make sure to use only digits here. No dashes are allowed.","אנא ודא כי אתה משתמש אך ורק בתווים בשדה זה. אין אפשרות שימוש במקפים/קווים"
"Pounds","פאונדים"
"Priority Mail","דואר עדיפות"
"Priority Overnight","עדיפות בלילה אחד"
"Receiver","מקבל/נמען"
"Rectangular","מלבני"
"Regular","רגיל"
"Regular Pickup","איסוף רגיל"
"Request Courier","בקש שליח"
"Residential","מגורים"
"Residential Delivery","משלוח מגורים"
"Response is in the wrong format","התגובה בפורמט לא מתאים"
"Round","עיגול"
"Second Day Service","שירות יום שני"
"Sender","השולח"
"Ship to Applicable Countries","שלח למדינות אפשריות"
"Ship to Specific Countries","שלח למדינות מסוימות"
"Shipment Contains Hazardous Materials","המשלוח מכיל חומרים מסוכנים"
"Shipment Dutiable","משלוח חייב במכס"
"Shipment Duty Payment Type","משלוח - סוג תשלום למכס"
"Shipment Type","סוג משלוח"
"Shipment is not available.","שילוח לא אפשרי"
"Shipment picked up","המשלוח נאסף"
"Shipper Number","מספר משלוח"
"Shipping Key","מפתח משלוח"
"Shipping Key (International)","מפתח משלוח (בין לאומי)"
"Show Method if Not Applicable","הצג שיטה אם לא יישים"
"Size","גודל"
"Sort Order","מיון לפי"
"Standard Overnight","רגיל - בן לילה"
"Station","תחנה"
"Subtotal","סך ביניים"
"Subtotal With Discount","סיכום ביניים עם הנחה"
"The response is in wrong format.","התשובה בפורמט לא מתאים."
"There is no available method for selected shipping address.","אין שיטת שילוח אפשרית עבור הכתובת שצוינה"
"Third Party","צד שלישי"
"Title","כותרת"
"To Lower","לתחתון"
"To Upper","לעליום"
"Tracking XML URL","כתובת URL לאיתור בפורמט XML"
"UPS","UPS"
"UPS Expedited","UPS מזורז"
"UPS Express","UPS אקספרס"
"UPS Express Box","תיבת אקספרס של UPS "
"UPS Express Early A.M.","A.M מוקדם של UPS  ."
"UPS Express Plus","UPS אקספרס פלוס"
"UPS Ground","UPS קרקע"
"UPS Letter Envelope","UPS מעטפת מכתב"
"UPS Next Day Air","UPS זמן אוויר של היום הבא"
"UPS Next Day Air Early A.M.","UPS זמן אוויר מוקדם של  A.M."
"UPS Next Day Air Saver","UPS שומר זמן אוויר של היום בא"
"UPS Saver","UPS שומר זמן אוויר של היום בא"
"UPS Second Day Air","UPS זמן אוויר של יום שני"
"UPS Second Day Air A.M.","UPS זמן אוויר של יום שני A.M."
"UPS Standard","UPS סטנדרטי"
"UPS Three-Day Select","UPS בשלושה ימים"
"UPS Today Dedicated Courrier","UPS שליח יומי ייעודי"
"UPS Today Express","UPS היום אקספרס"
"UPS Today Express Saver","UPS שומר היום אקספרס"
"UPS Today Intercity","UPS היום בין עירוני"
"UPS Today Standard","UPS היום סטנדרטי"
"UPS Tube","UPS צינור"
"UPS Type","UPS סוג"
"UPS Worldwide 10 kilo","UPS עולמי 10 קילו"
"UPS Worldwide 25 kilo","UPS עולמי 25 קילו"
"UPS Worldwide Expedited","UPS עולמי מזורז"
"UPS Worldwide Express","UPS אקספרס עולמי"
"UPS Worldwide Express Plus","UPS אקספרס פלוס עולמי"
"UPS Worldwide Express PlusSM","UPS אקספרס עולמי PlusSM"
"USPS","USPS"
"Unable to retrieve tracking","לא יכול לאחזר מידע על איתור"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Unknown error","שגיאה כללית"
"Used only when ""Additional Protection Value"" is set to ""Configuration"". Can contain only numeric amount.","בשימוש רק כאשר  ""ערך אבטחה נוסף"" מוגדר כ ""הגדרות"". יכול להכיל רק כמות בספרות."
"User ID","ID משתמש"
"UserId","זיהוי משתמש"
"Variable","משנתה"
"Weight Unit","יח' משקל"
"Worldwide Expedited","עולמי מזורז"
"Worldwide Express","אקספרס עולמי"
"Worldwide Express Letter","מכתב אקספרס עולמי"
"Worldwide Express Plus","אקספרס פלוס עולמי"
"Worldwide Express Plus Letter","מכתב אקספרס פלוס עולמי"
"Worldwide Express Saver","שומר אקספרס עולמי"
"Yes","כן"
"Your Packaging","האריזות שלך"
