"%s %s cycle.","%s %s מחזור."
"The number of scheduled payments that can fail before the profile is automatically suspended.","מספר התשלומים החוזרים שיכולים להיכשל לפני שהפרופיל מושהה באופן אוטומטי"
"The payment review action is unavailable.","פעולה של סקירת תשלום לא זמינה"
"Title","כותרת"
"Trial Billing Amount","סכום חיוב ניסיון"
"Trial Billing Frequency","תדירות חיוב ניסיון"
"Trial Billing Period Unit","יחידת מחזור חיוב ניסיון"
"Trial Period","תקופת ניסיון"
"Trial billing amount is wrong.","סכום חיוב ניסיון לא תקין"
"Trial billing period unit is wrong.","יחידת מחזור חיוב ניסיון לא תקינה"
"Trial period frequency is wrong.","תדירות מחזור לא תקינה"
"Trial period max cycles is wrong.","תקופת מחזורים מקסימליים בניסיון לא תקינה"
"Two Weeks","שבועיים"
"Unable to save Billing Agreement:","לא ניתן לשמור הסכם חיוב:"
"Unit for billing during the subscription period.","יחידת חיוב למחזור במהלך תקופת הרישום"
"Unsupported currency code: %s.","קוד מטבע לא נתמך: %s."
"Week","שבועיים"
"What is this?","מה זה?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","האם להשהות פרופיל תשלום אם תשלום העמלה  הראשוני נכשל או להוסיף אותו ליתרת חוב "
"Wrong %s specified.","צוין  %s שגוי."
"Wrong or empty billing amount specified.","צוינה כמות חיוב ריקה או שגויה"
"Year","שנה"
"Zero Subtotal Checkout","סכום סה""כ של סיכום ביניים שווה לאפס"
